RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Right	Category Left	Index Right	Index Left	Pupil Size Right X [px]	Pupil Size Right Y [px]	Pupil Diameter Right [mm]	Pupil Size Left X [px]	Pupil Size Left Y [px]	Pupil Diameter Left [mm]	Point of Regard Right X [px]	Point of Regard Right Y [px]	Point of Regard Left X [px]	Point of Regard Left Y [px]	AOI Name Right	AOI Name Left	Gaze Vector Right X	Gaze Vector Right Y	Gaze Vector Right Z	Gaze Vector Left X	Gaze Vector Left Y	Gaze Vector Left Z	Eye Position Right X [mm]	Eye Position Right Y [mm]	Eye Position Right Z [mm]	Eye Position Left X [mm]	Eye Position Left Y [mm]	Eye Position Left Z [mm]	Pupil Position Right X [px]	Pupil Position Right Y [px]	Pupil Position Left X [px]	Pupil Position Left Y [px]	Port Status
1023593.4	14:19:41:719	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Saccade	Saccade	1	1	26.3	26.3	4.7	25.4	25.4	4.4	1098.6	552.7	1102.8	584.7	White Space	White Space	0.1	0.3	-1	0.1	0.2	-1	29.5	14.6	595	-32.7	16.3	582.7	1184	674.6	1519.8	664.3	0
1023610	14:19:41:736	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Saccade	Saccade	1	1	26.3	26.3	4.7	25.1	25.1	4.4	1092.8	552.4	1088.2	579.8	White Space	White Space	0.1	0.3	-1	0.1	0.3	-1	29.4	14.7	595.1	-33	16.4	583.7	1185.3	674	1521.2	663.5	0
1023626.7	14:19:41:752	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Saccade	Saccade	1	1	26.5	26.5	4.7	25.1	25.1	4.4	922.2	475.9	902.6	458.2	White Space	White Space	0	0.3	-1	0	0.3	-1	28.9	14.9	594.9	-33.4	16.6	584.3	1189.6	672	1525.4	661.2	0
1023643.4	14:19:41:769	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	1	1	26.1	26.1	4.7	24.7	24.7	4.4	822.1	441.5	841.1	434.8	White Space	White Space	-0.1	0.3	-0.9	0	0.3	-0.9	28.5	15.1	595	-33.7	16.8	584.9	1193	670.8	1527.8	660	0
1023660	14:19:41:786	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	1	1	26.5	26.5	4.7	25	25	4.4	822	428.9	836.4	418.8	White Space	White Space	-0.1	0.3	-0.9	0	0.3	-0.9	28.4	15.2	595.5	-33.9	16.9	585.4	1193.6	670.3	1528.6	659.4	0
1023676.7	14:19:41:803	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	1	1	26.4	26.4	4.7	24.9	24.9	4.4	822.2	427.3	830.2	411.4	White Space	White Space	-0.1	0.3	-0.9	0	0.3	-0.9	28.3	15.2	595.5	-34	16.9	586.1	1193.7	670.3	1529.1	659.4	0
1023693.4	14:19:41:819	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	1	1	26.5	26.5	4.7	24.8	24.8	4.4	821.5	424.8	832.8	417.6	White Space	White Space	-0.1	0.3	-0.9	0	0.3	-0.9	28.3	15.2	595.4	-34.1	16.9	586.7	1194	670.2	1529.3	659.6	0
1023710	14:19:41:836	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	1	1	26.6	26.6	4.7	24.8	24.8	4.4	818.8	421.1	831.3	411.4	White Space	White Space	-0.1	0.3	-0.9	0	0.3	-0.9	28.3	15.2	595.2	-34.2	16.9	586.9	1194.3	670.1	1529.8	659.4	0
1023726.6	14:19:41:852	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	1	1	26.2	26.2	4.7	24.8	24.8	4.4	817.3	419.3	830.8	408.9	White Space	White Space	-0.1	0.3	-0.9	0	0.3	-0.9	28.2	15.2	595.5	-34.3	16.9	587.5	1194.5	670	1530.1	659.4	0
1023743.3	14:19:41:869	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	1	1	26.5	26.5	4.7	24.9	24.9	4.4	818.1	417.2	827	408.2	White Space	White Space	-0.1	0.3	-0.9	0	0.3	-0.9	28.2	15.2	595.8	-34.4	16.9	588.2	1194.5	670	1530.6	659.5	0
1023759.9	14:19:41:886	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	1	1	26.3	26.3	4.7	24.7	24.7	4.4	816.3	418.2	827	407.5	White Space	White Space	-0.1	0.3	-0.9	0	0.3	-0.9	28.2	15.2	595.9	-34.4	16.9	587.7	1194.8	670.2	1530.7	659.5	0
1023776.6	14:19:41:902	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	1	1	26.4	26.4	4.7	24.8	24.8	4.4	817.9	415.8	826.7	404	White Space	White Space	-0.1	0.3	-0.9	0	0.3	-0.9	28.1	15.2	595.8	-34.5	16.9	587.9	1194.8	670.1	1531	659.4	0
1023793.3	14:19:41:919	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	1	1	26.5	26.5	4.7	24.8	24.8	4.4	817.1	417.3	825.7	404.5	White Space	White Space	-0.1	0.3	-0.9	0	0.3	-0.9	28.1	15.2	595.6	-34.6	16.9	588.6	1195.1	670.2	1531.3	659.6	0
1023809.9	14:19:41:936	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	1	1	26.4	26.4	4.7	24.9	24.9	4.4	816.6	415.1	824.4	402.8	White Space	White Space	-0.1	0.3	-0.9	0	0.3	-0.9	28.1	15.2	595.3	-34.6	16.9	588.8	1195.3	670	1531.7	659.7	0
1023826.6	14:19:41:952	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	1	1	26.2	26.2	4.7	24.5	24.5	4.4	815.4	413.7	823.3	400.5	White Space	White Space	-0.1	0.3	-0.9	0	0.3	-0.9	28	15.2	595.5	-34.7	16.9	588.8	1195.6	670	1531.9	659.7	0
1023843.3	14:19:41:969	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	1	1	26.5	26.5	4.7	24.6	24.6	4.4	816.3	410.7	822.1	400.6	White Space	White Space	-0.1	0.3	-0.9	0	0.3	-0.9	28	15.2	595.7	-34.8	16.9	589.2	1195.6	669.8	1532.2	659.8	0
